endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight
ABCB1_IC50,measurement,random_fold0,satisficing,0,0.02,0.85,gaussian,1943,486,5.678817209577513,0.6750226112255641,1.612950001246261,0.7507718289616406,452,0.4705882352941176,0.0,0.4848484848484848,34,5.678817209577513,0.1578947368421052,0.2421875,0.7999588815789473,0.2125404710819265,484,228,256,0.495575221238938,1.369466437837261,0.1488633250462748,random,0,morgan,0.0
ABCB1_IC50,measurement,random_fold0,satisficing,1,0.02,0.85,gaussian,1943,486,5.678817209577513,0.6738939516024087,1.543122967910692,0.74126271541859,452,0.4705882352941176,0.0,0.4848484848484848,34,5.678817209577513,0.1842105263157894,0.21484375,0.8004728618421053,0.2335649030808707,484,228,256,0.6637168141592921,1.9546251261705765,0.1059238297178275,random,0,morgan,0.0
ABCB1_IC50,measurement,random_fold1,satisficing,0,0.02,0.85,gaussian,1943,486,5.690369832574101,0.8649070151460537,2.7296524377837166,0.7730478411952135,450,0.3888888888888889,0.0,0.4,36,5.690369832574101,0.1351351351351351,0.2068965517241379,0.8289841565703635,0.1917310759205092,483,222,261,0.58,2.094372735782103,0.1101895256605935,random,1,morgan,0.0
ABCB1_IC50,measurement,random_fold1,satisficing,1,0.02,0.85,gaussian,1943,486,5.690369832574101,0.864358123404879,2.7823605501096216,0.7698806848327855,450,0.3333333333333333,0.0,0.3428571428571428,36,5.690369832574101,0.1621621621621621,0.1494252873563218,0.844206275240758,0.1850507935789038,483,222,261,0.5844444444444444,2.1296591854359592,0.1055743965950949,random,1,morgan,0.0
ABCB1_IC50,measurement,random_fold2,satisficing,0,0.02,0.85,gaussian,1943,486,5.681936665037238,0.6391218518772673,1.7274380766657274,0.8158407303930328,445,0.4878048780487805,0.0,0.5128205128205128,41,5.681936665037238,0.1517857142857142,0.1589147286821705,0.8446497785160576,0.1684908525541207,482,224,258,0.5280898876404494,1.383252251898069,0.1082500961149128,random,2,morgan,0.0
ABCB1_IC50,measurement,random_fold2,satisficing,1,0.02,0.85,gaussian,1943,486,5.681936665037238,0.7241653225144241,1.9611373249831685,0.8059101011837224,445,0.4634146341463415,0.0,0.4871794871794871,41,5.681936665037238,0.2008928571428571,0.1046511627906976,0.8472279900332227,0.1856022955427005,482,224,258,0.6067415730337079,1.865034245467429,0.0825184479700764,random,2,morgan,0.0
ABCB1_IC50,measurement,random_fold3,satisficing,0,0.02,0.85,gaussian,1943,486,5.6777807052660805,0.847934330556059,2.6882229638100754,0.7690944979358892,451,0.4,0.0,0.4117647058823529,35,5.6777807052660805,0.1906779661016949,0.1129032258064516,0.8482094040459267,0.1740310777339376,484,236,248,0.5631929046563193,1.9589102363483488,0.0832794173312033,random,3,morgan,0.0
ABCB1_IC50,measurement,random_fold3,satisficing,1,0.02,0.85,gaussian,1943,486,5.6777807052660805,0.8291318710767019,2.532071308310422,0.7734806797140268,451,0.3714285714285714,0.0,0.3823529411764705,35,5.6777807052660805,0.1313559322033898,0.1774193548387097,0.8456123564789503,0.1710773187044119,484,236,248,0.5388026607538803,1.7372271438899476,0.088649480445943,random,3,morgan,0.0
ABCB1_IC50,measurement,random_fold4,satisficing,0,0.02,0.85,gaussian,1944,485,5.698970004336019,0.9917062606794816,3.336811342269044,0.7770147346398537,448,0.5135135135135135,1.0,0.5,37,5.698970004336019,0.1805555555555555,0.1385767790262172,0.8404338327091136,0.1864778869768753,483,216,267,0.5736607142857143,2.619036286659648,0.093653932412231,random,4,morgan,0.0
ABCB1_IC50,measurement,random_fold4,satisficing,1,0.02,0.85,gaussian,1944,485,5.698970004336019,0.9867609405863116,3.3769142171987463,0.7785982911754354,448,0.5135135135135135,1.0,0.5,37,5.698970004336019,0.1574074074074074,0.149812734082397,0.8463899292550978,0.1888963527958431,483,216,267,0.5625,2.511823697540024,0.099109105720065,random,4,morgan,0.0
